,avian,cattle,feline,other_mammal,human,other
0,,,,,,blue-winged_teal
1,,,,,,barn_owl
2,,,,,,swan
3,,,,,,wood_duck
4,,,,,,sparrow
5,,,,,,Bald_Eagle
6,,,,,,Mountain_Lion
7,,,,,,turkey
8,,,,,,emu
9,,,,,,ibis
10,,,,,,merganser
11,,,,,,green-winged_teal
12,,,,,,scoter
13,,,,,,savannah_cat
14,,,,,,Colorado
15,,,,,,cattle
16,,,,,,American_wigeon
17,,,,,,bald_eagle
18,,,,,,Green_Winged_Teal
19,,,,,,great_black-backed_gull
20,,,,,,Wyoming
21,,,,,,chicken
22,,,,,,brandt_goose
23,,,,,,common_goldeneye
24,,,,,,Texas
25,,,,,,white-winged_scoter
26,,,,,,tiger
27,,,,,,blue_jay
28,,,,,,western_gull
29,,,,,,bufflehead
30,,,,,,horned_grebe
31,,,,,,bobcat
32,,,,,,avian
33,,,,,,Washington
34,,,,,,Louisiana
35,,,,,,alpaca
36,,,,,,northern_pintail
37,,,,,,bottlenose_dolphin
38,,,,,,Red_Tailed_Hawk
39,,,,,,vulture
40,,,,,,ring-billed_gull
41,,,,,,poultry
42,,,,,,Striped_Skunk
43,,,,,,mute_swan
44,,,,,,cackling_goose
45,,,,,,surf_scoter
46,,,,,,owl
47,,,,,,heron
48,,,,,,cat
49,,,,,,Snow_Goose
50,,,,,,Wild-Bird
51,,,,,,American_black_duck
52,,,,,,lion
53,,,,,,guineafowl
54,,,,,,american_crow
55,,,,,,flamingo
56,,,,,,feline
57,,,,,,Hooded_Merganser
58,,,,,,canada_goose
59,,,,,,european_starling
60,,,,,,mountain_lion
61,,,,,,guinea_fowl
62,,,,,,common_raven
63,,,,,,sandhill_crane
64,,,,,,ruddy_duck
65,,,,,,common_eider
66,,,,,,red-breasted_merganser
67,,,,,,mallard
68,,,,,,goose
69,,,,,,red-tailed_hawk
70,,,,,,harbor_seal
71,,,,,,Cackling_Goose
72,,,,,,falcon
73,,,,,,Michigan
74,,,,,,peacock
75,,,,,,crow
76,,,,,,Cooper_s_Hawk
77,,,,,,Turkey
78,,,,,,double-crested_co
79,,,,,,crane
80,,,,,,Chicken
81,,,,,,California
82,,,,,,ermine
83,,,,,,geoffroys_cat
84,,,,,,american_robin
85,,,,,,Great_Horned_Owl
86,,,,,,swine
87,,,,,,Canada_Goose
88,,,,,,BALD_EAGLE
89,,,,,,lesser_scaup
90,,,,,,blackbird
91,,,,,,ruddy_turnstone
92,,,,,,snow_goose
93,,,,,,American_Crow
94,,,,,,domestic_cat
95,,,,,,redhead_duck
96,,,,,,Dunlin
97,,,,,,great_blue_heron
98,,,,,,American_white_pelican
99,,,,,,goat
100,,,,,,ring-necked_duck
101,,,,,,peregrine_falcon
102,,,,,,coopers_hawk
103,,,,,,swallow
104,,,,,,snowy_owl
105,,,,,,duck
106,,,,,,dairy_cow
107,,,,,,pigeon
108,,,,,,northern_shoveler
109,,,,,,dove
110,,,,,,gadwall
111,,,,,,American_crow
112,,,,,,red_fox
113,,,,,,Merlin
114,,,,,,peafowl
115,,,,,,pheasant
116,,,,,,hawk
117,,,,,,black-crowned_night-heron
118,,,,,,hooded_merganser
119,,,,,,trumpeter_swan
120,,,,,,Canada_goose
121,,,,,,great_horned_owl
122,,,,,,crested_caracara
123,,,,,,herring_gull
124,,,,,,Whistling_Swan
125,,,,,,environment
126,,,,,,cougar
127,,,,,,quail
128,,,,,,pelican
129,,,,,,raccoon
130,,,,,,common_loon
131,,,,,,black_vulture
132,,,,,,Barred_Owl
133,,,,,,tundra_swan
134,,,,,,British_Columbia
135,,,,,,lynx
136,,,,,,skunk
137,,,,,,burrowing_owl
138,,,,,,domestic_goose
139,,,,,,red-shouldered_hawk
140,,,,,,sanderling
141,,,,,,gull
142,,,,,,serval
143,,,,,,common_grackle
144,,,,,,turkey_vulture
145,,,,,,american_wigeon
146,,,,,,macaque
147,,,,,,house_mouse
148,,,,,,Ross's_goose
149,,,,,,Nevada
150,,,,,,grackle
151,,,,,,domestic_duck
152,,,,,,fox
